epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.686,1.82762,4.36932,1.57005,0.59683,0.62828,0.61504,0.26514,1.80112,3.52086,1.53583,0.000664975,0.000664975,0.000664975
2,276.972,1.72801,2.37263,1.51,0.8216,0.6657,0.78925,0.36969,1.65763,1.82887,1.4352,0.00130527,0.00130527,0.00130527
3,425.088,1.69812,1.76947,1.50408,0.80188,0.75299,0.82101,0.38805,1.71522,1.50599,1.40884,0.00191917,0.00191917,0.00191917
4,577.176,1.70464,1.50187,1.45808,0.81957,0.77326,0.82739,0.37685,1.66746,1.47006,1.40568,0.0018812,0.0018812,0.0018812
5,740.644,1.67124,1.42786,1.4455,0.91821,0.82849,0.89725,0.43781,1.63537,1.19341,1.37887,0.0018416,0.0018416,0.0018416
6,913.368,1.63124,1.32859,1.4334,0.87692,0.84012,0.89103,0.42749,1.65505,1.1662,1.40363,0.001802,0.001802,0.001802
7,1093.82,1.62167,1.28981,1.41148,0.90394,0.78488,0.88006,0.43092,1.66671,1.20778,1.3852,0.0017624,0.0017624,0.0017624
8,1285.73,1.60204,1.22602,1.39551,0.88028,0.7936,0.86067,0.43072,1.63493,1.23407,1.39203,0.0017228,0.0017228,0.0017228
9,1483.05,1.57825,1.20588,1.39612,0.87252,0.87546,0.90761,0.46643,1.61273,1.04533,1.35767,0.0016832,0.0016832,0.0016832
10,1685.83,1.55247,1.14961,1.3677,0.89638,0.87209,0.92817,0.4749,1.58339,1.04791,1.37584,0.0016436,0.0016436,0.0016436
11,1890.38,1.53084,1.10313,1.37349,0.79647,0.89244,0.88068,0.43599,1.58692,1.03258,1.35771,0.001604,0.001604,0.001604
12,2098.16,1.50586,1.06226,1.3442,0.93029,0.8923,0.92999,0.48598,1.56467,1.00585,1.35032,0.0015644,0.0015644,0.0015644
