epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6041,3.17452,3.38137,0.55703,2.55773,4.40777,0.67226,0.66667,0.65034,0.22039,0.44369,0.44,0.34245,0.05491,2.77815,3.90448,0.61415,1.4893,3.99739,0.000658009,0.000658009,0.000658009
2,93.7109,2.03195,2.99519,0.50263,1.05014,3.34523,0.66526,0.742,0.72838,0.29783,0.65862,0.54667,0.60148,0.15094,2.21064,3.51722,0.52906,1.39298,3.4723,0.00129845,0.00129845,0.00129845
3,133.483,1.67699,2.64528,0.47565,0.98835,3.03714,0.77893,0.74667,0.77925,0.31372,0.74391,0.70667,0.71025,0.23364,2.26313,2.99438,0.56685,1.41892,3.90652,0.00191248,0.00191248,0.00191248
4,207.198,1.49134,2.21104,0.40029,0.87303,2.83663,0.88258,0.90203,0.89715,0.49279,0.86862,0.8,0.83945,0.445,1.7852,2.46594,0.43983,1.08241,3.09721,0.0018812,0.0018812,0.0018812
5,247.05,1.48219,1.91647,0.29564,0.81688,2.7543,0.93835,0.81175,0.9027,0.47624,0.87682,0.75927,0.85301,0.50581,1.85681,2.09362,0.36519,1.28253,2.99617,0.0018416,0.0018416,0.0018416
6,287.463,1.38797,1.65602,0.22342,0.72868,2.64546,0.93383,0.86667,0.946,0.49795,0.90442,0.84,0.92166,0.51865,1.81672,1.98039,0.26924,1.04062,3.04309,0.001802,0.001802,0.001802
7,328.639,1.34361,1.46223,0.19137,0.71508,2.63415,0.96134,0.89333,0.95086,0.54475,0.93525,0.85333,0.90049,0.50082,1.64477,1.84497,0.18237,1.02901,2.88044,0.0017624,0.0017624,0.0017624
8,371.141,1.30776,1.35089,0.14397,0.67324,2.56436,0.98303,0.89333,0.95973,0.56767,0.91869,0.82667,0.89568,0.56736,1.68311,1.7719,0.16826,0.99467,2.92446,0.0017228,0.0017228,0.0017228
9,414.831,1.30059,1.32689,0.12591,0.64287,2.53874,0.93681,0.93333,0.9715,0.58245,0.92636,0.92,0.93054,0.56095,1.61083,1.67908,0.16738,0.71883,2.85607,0.0016832,0.0016832,0.0016832
10,457.835,1.28257,1.21045,0.13132,0.61199,2.48194,0.97987,0.90667,0.97788,0.59261,0.94177,0.86258,0.93618,0.60137,1.54348,1.52486,0.11992,0.82455,2.82882,0.0016436,0.0016436,0.0016436
11,500.261,1.23665,1.13399,0.10533,0.60285,2.48743,0.92395,0.98667,0.98155,0.60107,0.94544,0.86667,0.95846,0.70189,1.52518,1.33857,0.12516,0.69688,2.77458,0.001604,0.001604,0.001604
12,543.36,1.24159,1.03963,0.11341,0.59725,2.4799,0.932,0.91372,0.97415,0.60447,0.89683,0.86667,0.94219,0.70736,1.56104,1.4284,0.14542,0.7088,2.71075,0.0015644,0.0015644,0.0015644
13,586.335,1.18193,1.01435,0.10044,0.55652,2.41886,0.9451,0.9182,0.9744,0.57496,0.91941,0.91275,0.95952,0.75216,1.65779,1.22058,0.11289,0.70647,2.88169,0.0015248,0.0015248,0.0015248
14,628.594,1.19444,0.89625,0.09504,0.55589,2.44425,0.9487,0.98667,0.99048,0.56609,0.94625,0.92,0.954,0.72874,1.65752,1.21469,0.07678,0.65655,3.081,0.0014852,0.0014852,0.0014852
15,671.5,1.15382,0.85798,0.09308,0.5513,2.34986,0.97114,0.89735,0.97402,0.58125,0.92925,0.85333,0.92001,0.73709,1.60763,1.26834,0.08522,0.72161,2.7715,0.0014456,0.0014456,0.0014456
16,714.021,1.09687,0.80229,0.10638,0.52546,2.30393,0.96356,0.96,0.98275,0.56322,0.94538,0.9231,0.98025,0.73125,1.63744,1.09354,0.07008,0.67945,2.97418,0.001406,0.001406,0.001406
17,756.665,1.11153,0.78871,0.08469,0.50162,2.30504,0.9739,0.99516,0.99421,0.63877,0.93475,0.95516,0.96932,0.78886,1.38643,1.08246,0.09644,0.59438,2.58209,0.0013664,0.0013664,0.0013664
18,799.429,1.08212,0.7389,0.07736,0.51035,2.24896,0.99736,1,0.995,0.66006,0.94411,0.94667,0.95288,0.80804,1.34431,1.09396,0.06804,0.57316,2.51077,0.0013268,0.0013268,0.0013268
19,842.794,1.03238,0.70804,0.06798,0.49418,2.21859,0.99995,0.97333,0.98901,0.61375,0.94448,0.92,0.94836,0.81548,1.48042,1.10464,0.07857,0.67736,2.68623,0.0012872,0.0012872,0.0012872
20,885.506,1.08215,0.67311,0.07315,0.47889,2.24815,0.99675,1,0.995,0.66648,0.97005,0.97333,0.98031,0.85711,1.2981,0.9449,0.05896,0.5342,2.4877,0.0012476,0.0012476,0.0012476
21,928.537,1.04019,0.67308,0.06355,0.48129,2.19921,0.98482,1,0.99487,0.61649,0.95856,0.97333,0.97485,0.83588,1.43032,0.89312,0.05965,0.59604,2.68378,0.001208,0.001208,0.001208
22,971.399,1.05426,0.64871,0.09181,0.4916,2.21847,0.94918,0.99623,0.98648,0.59644,0.94794,0.97118,0.97161,0.82307,1.44443,0.88972,0.05391,0.65065,2.68226,0.0011684,0.0011684,0.0011684
