epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.2104,0.84586,0.86207,1,0.51206,0.00041088,0.00041088,0.00041088
2,36.5911,0.4379,0.83103,1,0.51262,0.000811161,0.000811161,0.000811161
3,52.8024,0.35799,0.88276,1,0.34338,0.00119494,0.00119494,0.00119494
4,69.1003,0.30811,0.88966,1,0.27917,0.00117575,0.00117575,0.00117575
5,85.4871,0.27941,0.90345,1,0.3001,0.001151,0.001151,0.001151
6,101.988,0.27162,0.87586,1,0.33111,0.00112625,0.00112625,0.00112625
7,118.537,0.28292,0.86552,1,0.34236,0.0011015,0.0011015,0.0011015
8,135.139,0.23937,0.88966,1,0.24889,0.00107675,0.00107675,0.00107675
9,152.077,0.19198,0.8931,1,0.22506,0.001052,0.001052,0.001052
10,169.136,0.16561,0.92069,1,0.23269,0.00102725,0.00102725,0.00102725
11,186.381,0.1588,0.90345,1,0.24609,0.0010025,0.0010025,0.0010025
12,203.838,0.13635,0.88276,1,0.29589,0.00097775,0.00097775,0.00097775
13,221.537,0.1531,0.89655,1,0.30503,0.000953,0.000953,0.000953
14,239.451,0.1556,0.90345,1,0.25049,0.00092825,0.00092825,0.00092825
15,257.705,0.14183,0.91034,1,0.37382,0.0009035,0.0009035,0.0009035
16,276.052,0.15116,0.91379,1,0.28172,0.00087875,0.00087875,0.00087875
17,294.221,0.12905,0.91379,1,0.47301,0.000854,0.000854,0.000854
18,313.577,0.10322,0.9069,1,0.27026,0.00082925,0.00082925,0.00082925
19,333.676,0.08968,0.91379,1,0.22994,0.0008045,0.0008045,0.0008045
20,352.487,0.09049,0.8931,1,0.28852,0.00077975,0.00077975,0.00077975
21,370.779,0.06533,0.9,1,0.35498,0.000755,0.000755,0.000755
22,389.735,0.07899,0.91379,1,0.34741,0.00073025,0.00073025,0.00073025
23,409.162,0.07771,0.92069,1,0.31804,0.0007055,0.0007055,0.0007055
24,428.728,0.05904,0.9069,1,0.35968,0.00068075,0.00068075,0.00068075
25,449.038,0.06317,0.92414,1,0.32986,0.000656,0.000656,0.000656
26,468.818,0.04738,0.91379,1,0.34684,0.00063125,0.00063125,0.00063125
27,489.376,0.05744,0.92069,1,0.3522,0.0006065,0.0006065,0.0006065
28,510.243,0.06218,0.89655,1,0.36095,0.00058175,0.00058175,0.00058175
29,531.753,0.05842,0.90345,1,0.64905,0.000557,0.000557,0.000557
30,552.279,0.04587,0.91724,1,0.54589,0.00053225,0.00053225,0.00053225
31,573.586,0.04092,0.90345,1,0.46278,0.0005075,0.0005075,0.0005075
32,594.902,0.05044,0.8931,1,0.38418,0.00048275,0.00048275,0.00048275
33,616.8,0.03044,0.93103,1,0.37236,0.000458,0.000458,0.000458
34,637.824,0.03384,0.92414,1,0.41907,0.00043325,0.00043325,0.00043325
35,660.127,0.02843,0.9069,1,0.38126,0.0004085,0.0004085,0.0004085
36,682.931,0.03948,0.9,1,0.33496,0.00038375,0.00038375,0.00038375
37,705.61,0.02556,0.91379,1,0.66504,0.000359,0.000359,0.000359
38,727.612,0.03455,0.92069,1,0.38768,0.00033425,0.00033425,0.00033425
39,750.006,0.02359,0.91379,1,0.51584,0.0003095,0.0003095,0.0003095
40,772.187,0.0243,0.91034,1,0.35866,0.00028475,0.00028475,0.00028475
41,820.788,0.02778,0.91724,1,1.08391,0.00026,0.00026,0.00026
42,840.362,0.01844,0.91034,1,0.39364,0.00023525,0.00023525,0.00023525
43,862.152,0.03245,0.91034,1,0.3889,0.0002105,0.0002105,0.0002105
44,883.297,0.02124,0.91379,1,0.37368,0.00018575,0.00018575,0.00018575
45,905.363,0.01465,0.91724,1,0.60162,0.000161,0.000161,0.000161
46,927.084,0.01993,0.91034,1,0.37319,0.00013625,0.00013625,0.00013625
47,949.659,0.0244,0.91724,1,0.44209,0.0001115,0.0001115,0.0001115
48,973.606,0.01844,0.91379,1,0.38043,8.675e-05,8.675e-05,8.675e-05
49,996.091,0.01296,0.91724,1,0.36648,6.2e-05,6.2e-05,6.2e-05
50,1018.77,0.01565,0.92069,1,0.38491,3.725e-05,3.725e-05,3.725e-05
