epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.7546,0.81165,0.8699,1,0.40021,0.000411822,0.000411822,0.000411822
2,43.7694,0.45771,0.85243,1,0.40217,0.000812084,0.000812084,0.000812084
3,64.3992,0.3586,0.90291,1,0.26462,0.00119585,0.00119585,0.00119585
4,85.1439,0.33543,0.91845,1,0.2771,0.00117575,0.00117575,0.00117575
5,106.08,0.3044,0.92039,1,0.20728,0.001151,0.001151,0.001151
6,126.977,0.26659,0.92233,1,0.21432,0.00112625,0.00112625,0.00112625
7,148.334,0.24636,0.91068,1,0.20111,0.0011015,0.0011015,0.0011015
8,170.215,0.2202,0.89903,1,0.2545,0.00107675,0.00107675,0.00107675
9,192.492,0.22315,0.93204,1,0.16571,0.001052,0.001052,0.001052
10,215.124,0.19287,0.92427,1,0.17549,0.00102725,0.00102725,0.00102725
11,237.447,0.19132,0.94951,1,0.12073,0.0010025,0.0010025,0.0010025
12,260.493,0.17367,0.94951,1,0.12496,0.00097775,0.00097775,0.00097775
13,283.531,0.15794,0.93398,1,0.1597,0.000953,0.000953,0.000953
14,306.835,0.17057,0.95922,1,0.10887,0.00092825,0.00092825,0.00092825
15,329.824,0.12943,0.96505,1,0.1138,0.0009035,0.0009035,0.0009035
16,353.499,0.10075,0.97476,1,0.08268,0.00087875,0.00087875,0.00087875
17,377.847,0.12084,0.93592,1,0.16047,0.000854,0.000854,0.000854
18,402.406,0.11831,0.96505,1,0.1011,0.00082925,0.00082925,0.00082925
19,427.251,0.09744,0.95728,1,0.09912,0.0008045,0.0008045,0.0008045
20,452.473,0.09382,0.9534,1,0.12263,0.00077975,0.00077975,0.00077975
21,478.223,0.08917,0.92427,1,0.20194,0.000755,0.000755,0.000755
22,504.367,0.08028,0.9534,1,0.12664,0.00073025,0.00073025,0.00073025
23,530.072,0.08165,0.98252,1,0.08123,0.0007055,0.0007055,0.0007055
24,556.475,0.07125,0.97087,1,0.07889,0.00068075,0.00068075,0.00068075
25,583.158,0.07344,0.96893,1,0.09454,0.000656,0.000656,0.000656
26,610.889,0.0693,0.96311,1,0.09138,0.00063125,0.00063125,0.00063125
27,638.617,0.06395,0.97282,1,0.09258,0.0006065,0.0006065,0.0006065
28,665.567,0.06549,0.98058,1,0.07132,0.00058175,0.00058175,0.00058175
29,692.889,0.04884,0.96893,1,0.10222,0.000557,0.000557,0.000557
30,720.713,0.05049,0.98252,1,0.08162,0.00053225,0.00053225,0.00053225
31,748.151,0.03654,0.9767,1,0.0735,0.0005075,0.0005075,0.0005075
32,776.197,0.05054,0.96699,1,0.10089,0.00048275,0.00048275,0.00048275
33,803.601,0.03525,0.98641,1,0.06894,0.000458,0.000458,0.000458
34,831.244,0.03061,0.98447,1,0.07117,0.00043325,0.00043325,0.00043325
35,859.09,0.03694,0.98252,1,0.06528,0.0004085,0.0004085,0.0004085
36,887.379,0.03865,0.96311,1,0.09993,0.00038375,0.00038375,0.00038375
37,916.294,0.04222,0.98447,1,0.07584,0.000359,0.000359,0.000359
38,944.29,0.02263,0.97864,1,0.08167,0.00033425,0.00033425,0.00033425
39,972.532,0.02605,0.9767,1,0.0886,0.0003095,0.0003095,0.0003095
40,1001.61,0.02537,0.98058,1,0.08292,0.00028475,0.00028475,0.00028475
41,1057.16,0.03607,0.97476,1,0.08001,0.00026,0.00026,0.00026
42,1082.6,0.02825,0.98058,1,0.06091,0.00023525,0.00023525,0.00023525
43,1109.87,0.02443,0.98252,1,0.06111,0.0002105,0.0002105,0.0002105
44,1137.7,0.02796,0.98447,1,0.09155,0.00018575,0.00018575,0.00018575
45,1166.67,0.02174,0.97864,1,0.0654,0.000161,0.000161,0.000161
46,1195.26,0.01913,0.98058,1,0.06185,0.00013625,0.00013625,0.00013625
47,1223.38,0.01659,0.98058,1,0.06226,0.0001115,0.0001115,0.0001115
48,1252.02,0.01742,0.98252,1,0.05664,8.675e-05,8.675e-05,8.675e-05
49,1280.34,0.01819,0.98447,1,0.05475,6.2e-05,6.2e-05,6.2e-05
50,1309.04,0.02104,0.98447,1,0.05512,3.725e-05,3.725e-05,3.725e-05
