epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,263.515,0.85717,0.85825,1,0.42006,0.000411822,0.000411822,0.000411822
2,525.606,0.4182,0.86796,1,0.34957,0.000812084,0.000812084,0.000812084
3,787.067,0.38621,0.81942,1,0.52325,0.00119585,0.00119585,0.00119585
4,1048.23,0.35879,0.90097,1,0.26615,0.00117575,0.00117575,0.00117575
5,1309.59,0.29239,0.92039,1,0.20246,0.001151,0.001151,0.001151
6,1570.85,0.26136,0.91845,1,0.20023,0.00112625,0.00112625,0.00112625
7,1832.03,0.24856,0.91068,1,0.30105,0.0011015,0.0011015,0.0011015
8,2093.27,0.24369,0.92816,1,0.18526,0.00107675,0.00107675,0.00107675
9,2354.64,0.20925,0.92233,1,0.19027,0.001052,0.001052,0.001052
10,2615.91,0.1749,0.93786,1,0.14333,0.00102725,0.00102725,0.00102725
11,2877.31,0.17483,0.94757,1,0.12523,0.0010025,0.0010025,0.0010025
12,3138.63,0.17119,0.9534,1,0.20224,0.00097775,0.00097775,0.00097775
13,3399.92,0.16707,0.95728,1,0.10782,0.000953,0.000953,0.000953
14,3661.13,0.13337,0.95534,1,0.12761,0.00092825,0.00092825,0.00092825
15,3922.42,0.16174,0.95922,1,0.09459,0.0009035,0.0009035,0.0009035
16,4183.62,0.10941,0.93398,1,0.13104,0.00087875,0.00087875,0.00087875
17,4445,0.11426,0.96893,1,0.08789,0.000854,0.000854,0.000854
18,4706.27,0.09545,0.97087,1,0.08345,0.00082925,0.00082925,0.00082925
19,4967.6,0.10408,0.95146,1,0.12123,0.0008045,0.0008045,0.0008045
20,5228.79,0.0825,0.96117,1,0.08342,0.00077975,0.00077975,0.00077975
21,5490.12,0.0971,0.95922,1,0.10657,0.000755,0.000755,0.000755
22,5751.35,0.08467,0.96699,1,0.09537,0.00073025,0.00073025,0.00073025
23,6013.58,0.07062,0.97087,1,0.05873,0.0007055,0.0007055,0.0007055
24,6274.78,0.06012,0.98835,1,0.04847,0.00068075,0.00068075,0.00068075
25,6536.08,0.05808,0.95728,1,0.11517,0.000656,0.000656,0.000656
26,6797.28,0.06393,0.9767,1,0.06347,0.00063125,0.00063125,0.00063125
27,30507.8,0.05515,0.95922,1,0.10655,0.0006065,0.0006065,0.0006065
28,30774.1,0.05193,0.9767,1,0.07085,0.00058175,0.00058175,0.00058175
29,31040.8,0.06628,0.98447,1,0.04589,0.000557,0.000557,0.000557
30,31307.2,0.0628,0.98447,1,0.04747,0.00053225,0.00053225,0.00053225
31,31574.1,0.04875,0.9767,1,0.0747,0.0005075,0.0005075,0.0005075
32,31840.4,0.0542,0.97476,1,0.14583,0.00048275,0.00048275,0.00048275
33,32106.7,0.0616,0.97282,1,0.06397,0.000458,0.000458,0.000458
34,32373,0.04553,0.96699,1,0.09562,0.00043325,0.00043325,0.00043325
35,32639.4,0.03881,0.9767,1,0.06662,0.0004085,0.0004085,0.0004085
36,32905.6,0.03663,0.96311,1,0.11505,0.00038375,0.00038375,0.00038375
37,33171.9,0.04975,0.9767,1,0.05993,0.000359,0.000359,0.000359
38,33438.2,0.03618,0.97864,1,0.06464,0.00033425,0.00033425,0.00033425
39,33704.5,0.03492,0.98641,1,0.05544,0.0003095,0.0003095,0.0003095
40,33971,0.02831,0.98252,1,0.05964,0.00028475,0.00028475,0.00028475
41,34272.1,0.03075,0.98641,1,0.04837,0.00026,0.00026,0.00026
42,34538.4,0.0241,0.98447,1,0.05045,0.00023525,0.00023525,0.00023525
43,34804.8,0.02901,0.98447,1,0.0501,0.0002105,0.0002105,0.0002105
44,35071,0.03096,0.98252,1,0.05242,0.00018575,0.00018575,0.00018575
45,35337.3,0.02156,0.98835,1,0.04838,0.000161,0.000161,0.000161
46,35603.6,0.02337,0.99029,1,0.04994,0.00013625,0.00013625,0.00013625
47,35869.9,0.02246,0.98835,1,0.0487,0.0001115,0.0001115,0.0001115
48,36136.2,0.02637,0.98447,1,0.05046,8.675e-05,8.675e-05,8.675e-05
49,36402.4,0.02804,0.98835,1,0.04915,6.2e-05,6.2e-05,6.2e-05
50,36668.7,0.0234,0.98447,1,0.05455,3.725e-05,3.725e-05,3.725e-05
